contentid,title,contenttypeid,areacode,sigungucode,cat1,cat2,cat3,mapx,mapy,addr1,lDongRegnCd,lDongSignguCd
2820184,감성공작소,12,32,4,A02,A0203,A02030400,129.1631079016,37.4423790237,강원특별자치도 삼척시 대학로 13-1 (당저동),51,230
2798360,고랭지만두마을,12,32,15,A02,A0203,A02030100,128.6919648396,37.6903218100,강원특별자치도 평창군 대관령면 갈골길 33-5,51,760
2789885,명월리산촌생태마을,12,32,13,A02,A0203,A02030100,127.6370130548,37.8802464537,강원특별자치도 춘천시 서면 명월길 410,51,110
2736542,차맛체험관,12,32,9,A02,A0203,A02030300,127.8933020415,37.3690188371,강원특별자치도 원주시 지정면 상차면길 10-1,51,130
2725128,오대산힐링빌리지,12,32,15,A02,A0203,A02030400,128.5175413370,37.6100860694,강원특별자치도 평창군 진부면 능골길 52-77,51,760
2717292,카페 방림별곡,12,32,15,A02,A0203,A02030400,128.3946856968,37.4264993838,강원특별자치도 평창군 방림면 서동로 1339,51,760
2711047,봉정연꽃마을,12,32,3,A02,A0203,A02030100,129.1244743033,37.4731441701,강원특별자치도 동해시 봉정1길 19-7,51,170
2384828,원주 학곡마을,12,32,9,A02,A0203,A02030100,128.0574102331,37.4370418109,강원특별자치도 원주시 소초면 구룡사로 7,51,130
129305,고라데이마을,12,32,18,A02,A0203,A02030100,128.1396326366,37.6488466228,강원특별자치도 횡성군 청일면 봉명로 375-1,51,730
128341,배두둑호박넝쿨마을,12,32,15,A02,A0203,A02030100,128.4026891251,37.4736107626,강원특별자치도 평창군 대화면 선애길 90,51,760
2776990,오색 치마폭포,12,32,7,A01,A0101,A01010800,128.4496246907,38.0831549021,강원특별자치도 양양군 서면 오색리,51,830
2383582,설악산 흘림골,12,32,7,A01,A0101,A01010900,128.4187245737,38.0878565375,강원특별자치도 양양군 서면 오색리,51,830
2712951,명주사부도군,12,32,7,A02,A0201,A02010800,128.6806551378,37.9485750069,강원특별자치도 양양군 현북면 어성전길 93-229,51,830
2609309,정선 양떼목장,12,32,11,A02,A0203,A02030100,128.7014149050,37.3856099525,강원특별자치도 정선군 정선읍 오반동길 470,51,770
129392,정선 가리왕산마을,12,32,11,A02,A0203,A02030100,128.6024069195,37.3925850300,강원특별자치도 정선군 정선읍 벽탄길 9,51,770
125654,순담계곡,12,32,12,A01,A0101,A01010900,127.2976020024,38.1755640602,강원특별자치도 철원군 갈말읍 순담길 143-3,51,780
2002445,홍천 배바위카누마을,12,32,16,A02,A0203,A02030100,127.5852584345,37.7253385074,강원특별자치도 홍천군 서면 마곡길 153-5,51,720
